timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496625320.6241540909,1496625320.6268739700, -0.1094,  1.3208, -0.0210, -2.6093,  4.1809, -1.0529
1496625320.6269559860,1496625320.6292490959, -0.1094,  1.3208, -0.0210, -2.6093,  4.1809, -1.0529
1496625320.6293220520,1496625320.6316120625, -0.1094,  1.3208, -0.0210, -2.6093,  4.1809, -1.0529
1496625320.6316831112,1496625320.6339979172, -0.1094,  1.3208, -0.0210, -2.6093,  4.1809, -1.0529
1496625320.6340711117,1496625320.6363599300, -0.1094,  0.6958, -0.0640, -2.6093,  4.1809, -1.2054
1496625320.6364328861,1496625320.6387209892, -0.0586,  0.6953, -0.0640, -2.9907,  5.2490, -1.2054
1496625320.6387910843,1496625320.6410799026, -0.0586,  0.6953, -0.0640, -2.9907,  5.2490, -1.2054
1496625320.6411519051,1496625320.6435909271, -0.0586,  0.6953, -0.0640, -2.9907,  5.2490, -1.2054
1496625320.6436719894,1496625320.6459710598, -0.0586,  0.6953, -0.0640, -2.9907,  5.2490, -1.2054
1496625320.6460440159,1496625320.6483340263, -0.0586,  0.6953, -0.0640, -3.0518,  4.2725, -1.1139
1496625320.6484060287,1496625320.6506979465, -0.0586,  0.6953, -0.0640, -3.0518,  4.2725, -1.1139
1496625320.6507689953,1496625320.6530570984, -0.0586,  0.6953, -0.0640, -3.0518,  4.2725, -1.1139
1496625320.6531279087,1496625320.6555449963, -0.0586,  0.6953, -0.0640, -3.0518,  4.2725, -1.1139
1496625320.6556179523,1496625320.6579110622, -0.0537,  0.7021, -0.0552, -3.0518,  4.2725, -1.0071
1496625320.6579830647,1496625320.6602749825, -0.0537,  0.7021, -0.0552, -2.5635,  4.2267, -1.0071
1496625320.6603469849,1496625320.6626350880, -0.0537,  0.7021, -0.0552, -2.5635,  4.2267, -1.0071
1496625320.6627070904,1496625320.6650059223, -0.0537,  0.7021, -0.0552, -2.5635,  4.2267, -1.0071
1496625320.6650791168,1496625320.6673710346, -0.0537,  0.7021, -0.0552, -2.5635,  4.2267, -1.0071
1496625320.6674430370,1496625320.6697320938, -0.0537,  0.7021, -0.0552, -2.5787,  4.1351, -0.9460
1496625320.6698040962,1496625320.6720950603, -0.0537,  0.7021, -0.0552, -2.5787,  4.1351, -0.9460
1496625320.6721670628,1496625320.6746630669, -0.0537,  0.7021, -0.0552, -2.5787,  4.1351, -0.9460
1496625320.6747360229,1496625320.6770300865, -0.0493,  0.6968, -0.0703, -2.5787,  4.1351, -0.9460
1496625320.6771008968,1496625320.6793920994, -0.0493,  0.6968, -0.0703, -2.5787,  4.1351, -1.0834
1496625320.6794629097,1496625320.6817479134, -0.0493,  0.6968, -0.0703, -2.3346,  3.8300, -1.0834
1496625320.6818199158,1496625320.6842548847, -0.0493,  0.6968, -0.0703, -2.3346,  3.8300, -1.0834
1496625320.6843280792,1496625320.6866159439, -0.0493,  0.6968, -0.0703, -2.3346,  3.8300, -1.0834
1496625320.6866879463,1496625320.6889810562, -0.0493,  0.6968, -0.0703, -2.3346,  3.8300, -1.0834
1496625320.6890530586,1496625320.6913390160, -0.0493,  0.6968, -0.0703, -2.4261,  3.6926, -1.4954
1496625320.6914110184,1496625320.6937460899, -0.0493,  0.6968, -0.0703, -2.4261,  3.6926, -1.4954
1496625320.6938180923,1496625320.6961090565, -0.0479,  0.6904, -0.0664, -2.4261,  3.6926, -1.4954
1496625320.6961810589,1496625320.6984679699, -0.0479,  0.6904, -0.0664, -2.4261,  3.6926, -1.4954
1496625320.6985390186,1496625320.7008280754, -0.0479,  0.6904, -0.0664, -2.4261,  3.6926, -1.4954
1496625320.7009000778,1496625320.7031860352, -0.0479,  0.6904, -0.0664, -2.5482,  3.4027, -1.7090
1496625320.7032580376,1496625320.7055521011, -0.0479,  0.6904, -0.0664, -2.5482,  3.4027, -1.7090
1496625320.7056241035,1496625320.7079160213, -0.0479,  0.6904, -0.0664, -2.5482,  3.4027, -1.7090
1496625320.7079870701,1496625320.7102799416, -0.0479,  0.6904, -0.0664, -2.5482,  3.4027, -1.7090
1496625320.7103519440,1496625320.7126390934, -0.0479,  0.6904, -0.0664, -2.5482,  3.7842, -1.8921
1496625320.7127110958,1496625320.7159121037, -0.0479,  0.6938, -0.0654, -3.0518,  3.7842, -1.8921
1496625320.7160110474,1496625320.7184720039, -0.0537,  0.6938, -0.0654, -3.0518,  3.7842, -1.8921
1496625320.7185459137,1496625320.7209610939, -0.0537,  0.6938, -0.0654, -3.0518,  3.7842, -1.8921
1496625320.7210350037,1496625320.7234539986, -0.0537,  0.6938, -0.0654, -3.0518,  4.0131, -1.8616
1496625320.7235269547,1496625320.7264719009, -0.0537,  0.6938, -0.0654, -3.0975,  4.0131, -1.8616
1496625320.7265460491,1496625320.7288370132, -0.0537,  0.6938, -0.0654, -3.0975,  4.0131, -1.8616
1496625320.7289080620,1496625320.7311930656, -0.0537,  0.6938, -0.0654, -3.0975,  4.0131, -1.8616
1496625320.7312650681,1496625320.7338290215, -0.0537,  0.6938, -0.0654, -3.0975,  4.0131, -1.8616
1496625320.7339010239,1496625320.7361969948, -0.0513,  0.6953, -0.0674, -2.9755,  4.3640, -1.8616
1496625320.7362689972,1496625320.7385571003, -0.0513,  0.6953, -0.0674, -2.9755,  4.3640, -1.8616
1496625320.7386291027,1496625320.7410058975, -0.0513,  0.6953, -0.0674, -2.9755,  4.3640, -1.8616
1496625320.7410790920,1496625320.7434639931, -0.0513,  0.6953, -0.0674, -2.9755,  4.3640, -1.8616
1496625320.7435369492,1496625320.7458291054, -0.0513,  0.6953, -0.0674, -2.8534,  4.3945, -1.5411
1496625320.7459011078,1496625320.7481949329, -0.0513,  0.6953, -0.0674, -2.8534,  4.3945, -1.5411
1496625320.7482669353,1496625320.7505578995, -0.0513,  0.6953, -0.0674, -2.8534,  4.3945, -1.5411
1496625320.7506310940,1496625320.7529189587, -0.0513,  0.6953, -0.0674, -2.8534,  4.3945, -1.5411
1496625320.7529900074,1496625320.7553269863, -0.0522,  0.6968, -0.0562, -2.8534,  4.3945, -1.5411
1496625320.7553989887,1496625320.7576858997, -0.0522,  0.6968, -0.0562, -2.3956,  4.1504, -1.4954
1496625320.7577579021,1496625320.7600450516, -0.0522,  0.6968, -0.0562, -2.3956,  4.1504, -1.4954
1496625320.7601161003,1496625320.7624030113, -0.0522,  0.6968, -0.0562, -2.3956,  4.1504, -1.4954
1496625320.7624740601,1496625320.7647950649, -0.0522,  0.6968, -0.0562, -2.3956,  4.1504, -1.4954
1496625320.7648680210,1496625320.7671570778, -0.0522,  0.6968, -0.0562, -2.4261,  3.6011, -1.6174
1496625320.7672290802,1496625320.7695128918, -0.0522,  0.6968, -0.0562, -2.4261,  3.6011, -1.6174
1496625320.7695839405,1496625320.7718689442, -0.0522,  0.6968, -0.0562, -2.4261,  3.6011, -1.6174
1496625320.7719409466,1496625320.7742409706, -0.0542,  0.6973, -0.0654, -2.4261,  3.6011, -1.6174
1496625320.7743139267,1496625320.7766029835, -0.0542,  0.6973, -0.0654, -2.4261,  3.6011, -1.6174
1496625320.7766749859,1496625320.7789700031, -0.0542,  0.6973, -0.0654, -2.5940,  3.7384, -1.7242
1496625320.7790420055,1496625320.7813351154, -0.0542,  0.6973, -0.0654, -2.5940,  3.7384, -1.7242
1496625320.7814071178,1496625320.7838521004, -0.0542,  0.6973, -0.0654, -2.5940,  3.7384, -1.7242
1496625320.7839250565,1496625320.7862269878, -0.0542,  0.6973, -0.0654, -2.5940,  3.7384, -1.7242
1496625320.7862999439,1496625320.7885909081, -0.0542,  0.6973, -0.0654, -2.5940,  3.7079, -1.8005
1496625320.7886641026,1496625320.7909588814, -0.0542,  0.6973, -0.0654, -2.1210,  3.7079, -1.8005
1496625320.7910308838,1496625320.7934811115, -0.0542,  0.6973, -0.0928, -2.1210,  3.7079, -1.8005
1496625320.7935550213,1496625320.7959771156, -0.0488,  0.6924, -0.0928, -2.1210,  3.7079, -1.8005
1496625320.7960500717,1496625320.7984709740, -0.0488,  0.6924, -0.0928, -2.1210,  3.7079, -1.8005
1496625320.7985439301,1496625320.8009650707, -0.0488,  0.6924, -0.0928, -2.6398,  4.1656, -2.1362
1496625320.8010370731,1496625320.8034679890, -0.0488,  0.6924, -0.0928, -2.6398,  4.1656, -2.1362
1496625320.8035399914,1496625320.8058409691, -0.0488,  0.6924, -0.0928, -2.6398,  4.1656, -2.1362
1496625320.8059129715,1496625320.8082029819, -0.0488,  0.6924, -0.0928, -2.6398,  4.1656, -2.1362
1496625320.8082759380,1496625320.8105690479, -0.0488,  0.6924, -0.0928, -3.3112,  5.0201, -1.9073
1496625320.8106420040,1496625320.8129429817, -0.0488,  0.6924, -0.0786, -3.3112,  5.0201, -1.9073
1496625320.8130159378,1496625320.8154358864, -0.0581,  0.6953, -0.0786, -3.3112,  5.0201, -1.9073
1496625320.8155090809,1496625320.8179149628, -0.0581,  0.6953, -0.0786, -3.3112,  5.0201, -1.9073
1496625320.8179879189,1496625320.8203880787, -0.0581,  0.6953, -0.0786, -3.3112,  5.0201, -1.9073
1496625320.8204610348,1496625320.8228600025, -0.0581,  0.6953, -0.0786, -3.3264,  6.5002, -1.3885
1496625320.8229329586,1496625320.8253951073, -0.0581,  0.6953, -0.0786, -3.3264,  6.5002, -1.3885
1496625320.8254680634,1496625320.8278689384, -0.0581,  0.6953, -0.0786, -3.3264,  6.5002, -1.3885
1496625320.8279418945,1496625320.8303449154, -0.0581,  0.6953, -0.0786, -3.3264,  6.5002, -1.3885
1496625320.8304159641,1496625320.8329260349, -0.0581,  0.7007, -0.0630, -3.5400,  7.6447, -1.3428
1496625320.8329989910,1496625320.8355300426, -0.0625,  0.7007, -0.0630, -3.5400,  7.6447, -1.3428
1496625320.8356039524,1496625320.8379790783, -0.0625,  0.7007, -0.0630, -3.5400,  7.6447, -1.3428
1496625320.8380520344,1496625320.8405320644, -0.0625,  0.7007, -0.0630, -3.5400,  7.6447, -1.3428
1496625320.8406050205,1496625320.8429861069, -0.0625,  0.7007, -0.0630, -3.5400,  8.2092, -1.5106
1496625320.8430581093,1496625320.8459300995, -0.0625,  0.7007, -0.0630, -3.3875,  8.2092, -1.5106
1496625320.8460049629,1496625320.8483819962, -0.0625,  0.7007, -0.0630, -3.3875,  8.2092, -1.5106
1496625320.8484559059,1496625320.8508930206, -0.0625,  0.7007, -0.0630, -3.3875,  8.2092, -1.5106
1496625320.8509659767,1496625320.8533840179, -0.0430,  0.6938, -0.0581, -3.3875,  8.2092, -1.8311
1496625320.8534569740,1496625320.8557479382, -0.0430,  0.6938, -0.0581, -3.5706,  8.3160, -1.8311
1496625320.8558199406,1496625320.8581140041, -0.0430,  0.6938, -0.0581, -3.5706,  8.3160, -1.8311
1496625320.8581860065,1496625320.8604779243, -0.0430,  0.6938, -0.0581, -3.5706,  8.3160, -1.8311
1496625320.8605499268,1496625320.8628430367, -0.0430,  0.6938, -0.0581, -3.5706,  8.3160, -1.8311
1496625320.8629150391,1496625320.8652060032, -0.0430,  0.6938, -0.0581, -3.1281,  8.1024, -1.6785
1496625320.8652789593,1496625320.8675689697, -0.0430,  0.6938, -0.0581, -3.1281,  8.1024, -1.6785
1496625320.8676409721,1496625320.8699300289, -0.0430,  0.6938, -0.0581, -3.1281,  8.1024, -1.6785
1496625320.8700020313,1496625320.8722939491, -0.0430,  0.6953, -0.0688, -3.1281,  8.1024, -1.6785
1496625320.8723659515,1496625320.8747179508, -0.0522,  0.6953, -0.0688, -3.1281,  8.1024, -1.6785
1496625320.8747909069,1496625320.8770859241, -0.0522,  0.6953, -0.0688, -2.7008,  8.2397, -1.8005
1496625320.8771591187,1496625320.8794510365, -0.0522,  0.6953, -0.0688, -2.7008,  8.2397, -1.8005
1496625320.8795230389,1496625320.8818149567, -0.0522,  0.6953, -0.0688, -2.7008,  8.2397, -1.8005
1496625320.8818869591,1496625320.8841819763, -0.0522,  0.6953, -0.0688, -2.7008,  8.2397, -1.8005
1496625320.8842549324,1496625320.8865489960, -0.0522,  0.6953, -0.0688, -2.7008,  8.6670, -1.8768
1496625320.8866209984,1496625320.8889169693, -0.0522,  0.6953, -0.0688, -2.4261,  8.6670, -1.8768
1496625320.8889889717,1496625320.8912739754, -0.0522,  0.6953, -0.0757, -2.4261,  8.6670, -1.8768
1496625320.8913459778,1496625320.8937189579, -0.0474,  0.6851, -0.0757, -2.4261,  8.6670, -1.8768
1496625320.8937919140,1496625320.8960900307, -0.0474,  0.6851, -0.0757, -2.4261,  8.6670, -1.8768
1496625320.8961620331,1496625320.8984580040, -0.0474,  0.6851, -0.0757, -2.4414,  8.3771, -2.1362
1496625320.8985300064,1496625320.9008219242, -0.0474,  0.6851, -0.0757, -2.4414,  8.3771, -2.1362
1496625320.9008939266,1496625320.9031870365, -0.0474,  0.6851, -0.0757, -2.4414,  8.3771, -2.1362
1496625320.9032599926,1496625320.9057590961, -0.0474,  0.6851, -0.0757, -2.4414,  8.3771, -2.1362
1496625320.9058320522,1496625320.9082479477, -0.0474,  0.6851, -0.0757, -2.4414,  8.4991, -1.9684
1496625320.9083199501,1496625320.9107329845, -0.0474,  0.6851, -0.0757, -2.2278,  8.4991, -1.9684
1496625320.9108059406,1496625320.9132161140, -0.0508,  0.7017, -0.0586, -2.2278,  8.4991, -1.9684
1496625320.9132881165,1496625320.9155790806, -0.0508,  0.7017, -0.0586, -2.2278,  8.4991, -1.9684
1496625320.9156520367,1496625320.9179461002, -0.0508,  0.7017, -0.0586, -2.2278,  8.4991, -1.9684
1496625320.9180181026,1496625320.9203090668, -0.0508,  0.7017, -0.0586, -2.3041,  8.7585, -1.9684
1496625320.9203820229,1496625320.9226710796, -0.0508,  0.7017, -0.0586, -2.3041,  8.7585, -1.9684
1496625320.9227430820,1496625320.9251749516, -0.0508,  0.7017, -0.0586, -2.3041,  8.7585, -1.9684
1496625320.9252490997,1496625320.9276618958, -0.0508,  0.7017, -0.0586, -2.3041,  8.7585, -1.9684
1496625320.9277338982,1496625320.9301419258, -0.0508,  0.7017, -0.0586, -1.8768,  8.8043, -2.3346
1496625320.9302148819,1496625320.9326250553, -0.0552,  0.7178, -0.0425, -1.8768,  8.8043, -2.3346
1496625320.9326970577,1496625320.9351160526, -0.0552,  0.7178, -0.0425, -1.8768,  8.8043, -2.3346
1496625320.9351890087,1496625320.9376020432, -0.0552,  0.7178, -0.0425, -1.8768,  8.8043, -2.3346
1496625320.9376749992,1496625320.9400920868, -0.0552,  0.7178, -0.0425, -1.8768,  8.8043, -2.3346
1496625320.9401640892,1496625320.9425799847, -0.0552,  0.7178, -0.0425, -0.7324,  7.8735, -2.6855
1496625320.9426529408,1496625320.9450769424, -0.0552,  0.7178, -0.0425, -0.7324,  7.8735, -2.6855
1496625320.9451498985,1496625320.9475638866, -0.0552,  0.7178, -0.0425, -0.7324,  7.8735, -2.6855
1496625320.9476358891,1496625320.9500470161, -0.0552,  0.7178, -0.0601, -0.7324,  7.8735, -2.6855
1496625320.9501199722,1496625320.9525330067, -0.0454,  0.7056, -0.0601,  0.3052,  5.8746, -3.3264
