timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496625119.8435969353,1496625119.8462870121, -0.3945,  0.1646, -0.1719,-16.2811,  2.8687,-194.4885
1496625119.8463668823,1496625119.8492820263, -0.2188,  0.2891, -0.1245,-16.2811,  2.8687,-194.4885
1496625119.8493630886,1496625119.8522319794, -0.2188,  0.2891, -0.1245,-20.7977,  0.8850,-222.1680
1496625119.8523108959,1496625119.8546280861, -0.2188,  0.2891, -0.1245,-20.7977,  0.8850,-222.1680
1496625119.8547010422,1496625119.8569889069, -0.2188,  0.2891, -0.1245,-20.7977,  0.8850,-222.1680
1496625119.8570609093,1496625119.8593509197, -0.2188,  0.2891, -0.1245,-20.7977,  0.8850,-222.1680
1496625119.8594229221,1496625119.8617138863, -0.2188,  0.2891, -0.1245,-18.5089, -5.3558,-235.5652
1496625119.8617858887,1496625119.8640689850, -0.2188,  0.2891, -0.1245,-18.5089, -5.3558,-235.5652
1496625119.8641419411,1496625119.8664329052, -0.2188,  0.2891, -0.1245,-18.5089, -5.3558,-235.5652
1496625119.8665049076,1496625119.8687961102, -0.0835,  0.3936, -0.1660,-18.5089, -5.3558,-235.5652
1496625119.8688681126,1496625119.8711609840, -0.0835,  0.3936, -0.1660,-18.5089, -5.3558,-235.5652
1496625119.8712339401,1496625119.8736169338, -0.0835,  0.3936, -0.1660,-11.8256,-19.0125,-242.4164
1496625119.8736889362,1496625119.8759810925, -0.0835,  0.3936, -0.1660,-11.8256,-19.0125,-242.4164
1496625119.8760530949,1496625119.8783440590, -0.0835,  0.3936, -0.1660,-11.8256,-19.0125,-242.4164
1496625119.8784160614,1496625119.8807089329, -0.0835,  0.3936, -0.1660,-11.8256,-19.0125,-242.4164
1496625119.8807809353,1496625119.8830640316, -0.0835,  0.3936, -0.1660, -4.0131,-29.2511,-253.7689
1496625119.8831350803,1496625119.8854980469, -0.0835,  0.3936, -0.1660, -5.4932,-29.2511,-253.7689
1496625119.8855700493,1496625119.8878579140, -0.1138,  0.4561, -0.2305, -5.4932,-29.2511,-253.7689
1496625119.8879311085,1496625119.8902161121, -0.1138,  0.4561, -0.2305, -5.4932,-29.2511,-253.7689
1496625119.8902890682,1496625119.8925828934, -0.1138,  0.4561, -0.2305, -5.4932,-29.2511,-253.7689
1496625119.8926548958,1496625119.8950679302, -0.1138,  0.4561, -0.2305,  0.0916,-30.5939,-267.1356
1496625119.8951408863,1496625119.8974530697, -0.1138,  0.4561, -0.2305,  0.0916,-30.5939,-267.1356
1496625119.8975260258,1496625119.8998210430, -0.1138,  0.4561, -0.2305,  0.0916,-30.5939,-267.1356
1496625119.8998939991,1496625119.9021871090, -0.1138,  0.4561, -0.2305,  0.0916,-30.5939,-267.1356
1496625119.9022600651,1496625119.9047279358, -0.1138,  0.4561, -0.2305,  0.0916,-28.0914,-282.6080
1496625119.9048008919,1496625119.9072139263, -0.1138,  0.5820, -0.2754,  2.2278,-28.0914,-282.6080
1496625119.9072859287,1496625119.9096999168, -0.0557,  0.5820, -0.2754,  2.2278,-28.0914,-282.6080
1496625119.9097731113,1496625119.9121899605, -0.0557,  0.5820, -0.2754,  2.2278,-28.0914,-282.6080
1496625119.9122629166,1496625119.9146289825, -0.0557,  0.5820, -0.2754,  2.2278,-28.0914,-282.6080
1496625119.9147019386,1496625119.9170000553, -0.0557,  0.5820, -0.2754,  1.9836,-27.0996,-296.8292
1496625119.9170720577,1496625119.9193649292, -0.0557,  0.5820, -0.2754,  1.9836,-27.0996,-296.8292
1496625119.9194378853,1496625119.9217340946, -0.0557,  0.5820, -0.2754,  1.9836,-27.0996,-296.8292
1496625119.9218070507,1496625119.9241940975, -0.0557,  0.5820, -0.2754,  1.9836,-27.0996,-296.8292
1496625119.9242830276,1496625119.9267001152, -0.0557,  0.6538, -0.2656,  1.9836,-28.3508,-311.0962
1496625119.9267730713,1496625119.9291880131, -0.0347,  0.6538, -0.2656,  1.4648,-28.3508,-311.0962
1496625119.9292609692,1496625119.9316849709, -0.0347,  0.6538, -0.2656,  1.4648,-28.3508,-311.0962
1496625119.9317579269,1496625119.9341490269, -0.0347,  0.6538, -0.2656,  1.4648,-28.3508,-311.0962
1496625119.9342210293,1496625119.9365189075, -0.0347,  0.6538, -0.2656,  1.4648,-28.3508,-311.0962
1496625119.9365921021,1496625119.9388821125, -0.0347,  0.6538, -0.2656,  2.3804,-34.9121,-320.7245
1496625119.9389541149,1496625119.9412450790, -0.0347,  0.6538, -0.2656,  2.3804,-34.9121,-320.7245
1496625119.9413170815,1496625119.9437110424, -0.0347,  0.6538, -0.2656,  2.3804,-34.9121,-320.7245
1496625119.9437839985,1496625119.9460780621, -0.0347,  0.7969, -0.1968,  2.3804,-34.9121,-320.7245
1496625119.9461500645,1496625119.9484450817, -0.0581,  0.7969, -0.1968,  2.6703,-39.5966,-328.0945
1496625119.9485180378,1496625119.9508190155, -0.0581,  0.7969, -0.1968,  2.6703,-39.5966,-328.0945
1496625119.9508919716,1496625119.9531888962, -0.0581,  0.7969, -0.1968,  2.6703,-39.5966,-328.0945
1496625119.9532608986,1496625119.9557490349, -0.0581,  0.7969, -0.1968,  2.6703,-39.5966,-328.0945
1496625119.9558210373,1496625119.9582090378, -0.0581,  0.7969, -0.1968,  2.6703,-39.5966,-328.0945
1496625119.9582810402,1496625119.9607980251, -0.0581,  0.7969, -0.1968,  2.5482,-42.4957,-336.9141
1496625119.9608719349,1496625119.9632940292, -0.0581,  0.7969, -0.1968,  2.5482,-42.4957,-336.9141
1496625119.9634349346,1496625119.9657289982, -0.0581,  1.0688, -0.1758,  2.5482,-42.4957,-336.9141
1496625119.9658010006,1496625119.9680900574,  0.0532,  1.0688, -0.1758,  2.5482,-42.4957,-336.9141
1496625119.9681630135,1496625119.9704570770,  0.0532,  1.0688, -0.1758,  5.1422,-49.6521,-346.0541
1496625119.9705300331,1496625119.9728209972,  0.0532,  1.0688, -0.1758,  5.1422,-49.6521,-346.0541
1496625119.9728929996,1496625119.9753389359,  0.0532,  1.0688, -0.1758,  5.1422,-49.6521,-346.0541
1496625119.9754199982,1496625119.9778161049,  0.0532,  1.0688, -0.1758,  5.1422,-49.6521,-346.0541
1496625119.9778900146,1496625119.9801809788,  0.0532,  1.0688, -0.1758,  5.1422,-49.6521,-349.9603
