timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496624889.6632740498,1496624889.6661970615, -0.0991,  0.6890, -0.0420, -4.5166,  2.9144, -4.2725
1496624889.6662750244,1496624889.6685659885, -0.1050,  0.6929, -0.0518, -4.5166,  2.9144, -4.2725
1496624889.6686389446,1496624889.6709249020, -0.1050,  0.6929, -0.0518, -4.5166,  2.9144, -3.3722
1496624889.6709969044,1496624889.6733090878, -0.1050,  0.6929, -0.0518, -5.0812,  3.0518, -3.3722
1496624889.6736121178,1496624889.6759049892, -0.1050,  0.6929, -0.0518, -5.0812,  3.0518, -3.3722
1496624889.6759779453,1496624889.6782639027, -0.1050,  0.6929, -0.0518, -5.0812,  3.0518, -3.3722
1496624889.6783359051,1496624889.6806199551, -0.1050,  0.6929, -0.0518, -5.0812,  3.0518, -3.3722
1496624889.6806919575,1496624889.6829800606, -0.1050,  0.6929, -0.0518, -5.3253,  3.0518, -2.9602
1496624889.6830520630,1496624889.6853539944, -0.1050,  0.6929, -0.0518, -5.3253,  3.0518, -2.9602
1496624889.6854269505,1496624889.6877191067, -0.1050,  0.7070, -0.0557, -5.3253,  3.0518, -2.9602
1496624889.6877899170,1496624889.6900770664, -0.1143,  0.7070, -0.0557, -5.3253,  3.0518, -2.9602
1496624889.6901490688,1496624889.6924359798, -0.1143,  0.7070, -0.0557, -5.3253,  3.0518, -2.9602
1496624889.6925089359,1496624889.6948440075, -0.1143,  0.7070, -0.0557, -5.0812,  2.7924, -2.5635
1496624889.6949160099,1496624889.6972019672, -0.1143,  0.7070, -0.0557, -5.0812,  2.7924, -2.5635
1496624889.6972730160,1496624889.6995630264, -0.1143,  0.7070, -0.0557, -5.0812,  2.7924, -2.5635
1496624889.6996350288,1496624889.7019228935, -0.1143,  0.7070, -0.0557, -5.0812,  2.7924, -2.5635
1496624889.7019960880,1496624889.7043919563, -0.1143,  0.7070, -0.0557, -4.6997,  1.6022, -1.1292
1496624889.7044639587,1496624889.7067539692, -0.1143,  0.7070, -0.0430, -4.6997,  1.6022, -1.1292
1496624889.7068269253,1496624889.7091228962, -0.1133,  0.7183, -0.0430, -4.6997,  1.6022, -1.1292
1496624889.7091970444,1496624889.7114911079, -0.1133,  0.7183, -0.0430, -4.6997,  1.6022, -1.1292
1496624889.7115640640,1496624889.7139298916, -0.1133,  0.7183, -0.0430, -4.6997,  1.6022, -1.1292
1496624889.7140030861,1496624889.7163059711, -0.1133,  0.7183, -0.0430, -4.5471,  0.4272, -0.7477
1496624889.7163789272,1496624889.7186779976, -0.1133,  0.7183, -0.0430, -4.5471,  0.4272, -0.7477
1496624889.7187509537,1496624889.7210469246, -0.1133,  0.7183, -0.0430, -4.5471,  0.4272, -0.7477
1496624889.7211201191,1496624889.7235040665, -0.1133,  0.7183, -0.0430, -4.5471,  0.4272, -0.7477
1496624889.7236258984,1496624889.7260448933, -0.1133,  0.7183, -0.0430, -4.5776, -1.5717, -0.7324
1496624889.7261190414,1496624889.7285220623, -0.0825,  0.7095, -0.0439, -4.5776, -1.5717, -0.7324
1496624889.7285950184,1496624889.7309999466, -0.0825,  0.7095, -0.0439, -4.5776, -1.5717, -0.7324
1496624889.7310719490,1496624889.7334818840, -0.0825,  0.7095, -0.0439, -4.5776, -1.5717, -0.7324
1496624889.7335550785,1496624889.7359991074, -0.0825,  0.7095, -0.0439, -4.5776, -1.5717, -0.7324
1496624889.7360720634,1496624889.7384819984, -0.0825,  0.7095, -0.0439, -4.3488, -4.1962, -0.6561
1496624889.7385549545,1496624889.7409720421, -0.0825,  0.7095, -0.0439, -4.3488, -4.1962, -0.6561
1496624889.7410459518,1496624889.7434699535, -0.0825,  0.7095, -0.0439, -4.3488, -4.1962, -0.6561
1496624889.7435429096,1496624889.7458350658, -0.0825,  0.7095, -0.0503, -4.3488, -4.1962, -0.6561
1496624889.7459080219,1496624889.7481999397, -0.0957,  0.6787, -0.0503, -4.6082, -3.6621, -0.8698
1496624889.7482728958,1496624889.7505640984, -0.0957,  0.6787, -0.0503, -4.6082, -3.6621, -0.8698
1496624889.7506349087,1496624889.7529311180, -0.0957,  0.6787, -0.0503, -4.6082, -3.6621, -0.8698
