timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496624704.9006719589,1496624704.9034550190, -0.0503,  1.1069,  0.0610, -4.2114, -1.6327,  1.0986
1496624704.9035389423,1496624704.9063320160, -0.0503,  1.1069,  0.0610, -4.2114, -1.6327,  1.0986
1496624704.9064090252,1496624704.9086999893, -0.0503,  1.1069,  0.0610, -4.2114, -1.6327,  1.0986
1496624704.9087729454,1496624704.9110629559, -0.0503,  1.1069, -0.0640, -4.2114, -1.6327,  1.0986
1496624704.9111359119,1496624704.9134221077, -0.0132,  0.6587, -0.0464, -3.1738, -2.9297,  0.9460
1496624704.9134950638,1496624704.9157838821, -0.0132,  0.6587, -0.0464, -3.1738, -2.9297,  0.9460
1496624704.9158558846,1496624704.9181439877, -0.0132,  0.6587, -0.0464, -3.1738, -2.9297,  0.9460
1496624704.9182159901,1496624704.9205029011, -0.0132,  0.6587, -0.0464, -3.1738, -2.9297,  0.9460
1496624704.9205739498,1496624704.9228610992, -0.0132,  0.6587, -0.0464, -3.1738, -2.9297,  0.6409
1496624704.9229331017,1496624704.9252920151, -0.0132,  0.6587, -0.0464, -3.7842, -4.2572,  0.6409
1496624704.9253649712,1496624704.9276549816, -0.0132,  0.6587, -0.0464, -3.7842, -4.2572,  0.6409
1496624704.9277279377,1496624704.9300129414, -0.0132,  0.6587, -0.0464, -3.7842, -4.2572,  0.6409
1496624704.9300839901,1496624704.9323699474, -0.0483,  0.6538, -0.0693, -3.7842, -4.2572,  0.6409
1496624704.9324429035,1496624704.9348061085, -0.0483,  0.6538, -0.0693, -4.4250, -4.0131,  0.5035
1496624704.9348781109,1496624704.9371709824, -0.0483,  0.6538, -0.0693, -4.4250, -4.0131,  0.5035
1496624704.9372429848,1496624704.9395389557, -0.0483,  0.6538, -0.0693, -4.4250, -4.0131,  0.5035
1496624704.9396119118,1496624704.9419031143, -0.0483,  0.6538, -0.0693, -4.4250, -4.0131,  0.5035
1496624704.9419760704,1496624704.9443080425, -0.0483,  0.6538, -0.0693, -4.4250, -4.0131, -3.4027
1496624704.9443809986,1496624704.9466719627, -0.0483,  0.6538, -0.0693, -4.9896, -2.2583, -0.1984
1496624704.9467439651,1496624704.9490330219, -0.0483,  0.6538, -0.0693, -4.9896, -2.2583, -0.1984
1496624704.9491050243,1496624704.9513959885, -0.0962,  0.7017, -0.0391, -4.9896, -2.2583, -0.1984
1496624704.9514679909,1496624704.9539198875, -0.0962,  0.7017, -0.0391, -4.9896, -2.2583, -0.1984
1496624704.9539930820,1496624704.9562840462, -0.0962,  0.7017, -0.0391, -5.3558,  1.5869, -0.5493
1496624704.9563570023,1496624704.9586479664, -0.0962,  0.7017, -0.0391, -5.3558,  1.5869, -0.5493
1496624704.9587199688,1496624704.9610130787, -0.0962,  0.7017, -0.0391, -5.3558,  1.5869, -0.5493
1496624704.9610860348,1496624704.9635150433, -0.0962,  0.7017, -0.0391, -5.3558,  1.5869, -0.5493
1496624704.9635879993,1496624704.9660050869, -0.0962,  0.7017, -0.0391, -5.3558,  1.5869, -0.5493
1496624704.9660770893,1496624704.9684829712, -0.0962,  0.7017, -0.0391, -5.5237,  6.8665, -1.9989
1496624704.9685549736,1496624704.9709670544, -0.0439,  0.7017, -0.0229, -5.5237,  6.8665, -1.9989
1496624704.9710400105,1496624704.9734680653, -0.0439,  0.7017, -0.0229, -5.5237,  6.8665, -1.9989
1496624704.9735410213,1496624704.9759490490, -0.0439,  0.7017, -0.0229, -5.5237,  6.8665, -1.9989
1496624704.9760220051,1496624704.9784369469, -0.0439,  0.7017, -0.0229, -5.1270,  8.5907, -2.1057
1496624704.9785089493,1496624704.9809260368, -0.0439,  0.7017, -0.0229, -5.1270,  8.5907, -2.1057
1496624704.9810171127,1496624704.9834380150, -0.0439,  0.7017, -0.0229, -5.1270,  8.5907, -2.1057
1496624704.9835109711,1496624704.9859230518, -0.0439,  0.7017, -0.0229, -5.1270,  8.5907, -2.1057
1496624704.9859960079,1496624704.9884099960, -0.0439,  0.7017, -0.0229, -5.1270,  8.5907, -2.1820
