timestamp_before,timestamp_after,accel_x,accel_y,accel_z,gyro_x,gyro_y,gryo_z
1496625624.2729489803,1496625624.2754950523, -0.0420,  0.6621, -0.0400, -3.9520,  6.8054, -1.0986
1496625624.2755720615,1496625624.2780969143, -0.1050,  1.0742, -0.0259, -3.9520,  6.8054, -1.0986
1496625624.2781720161,1496625624.2804620266, -0.1050,  1.0742, -0.0259, -3.9520,  7.4921, -0.9308
1496625624.2805349827,1496625624.2828280926, -0.1050,  1.0742, -0.0259, -4.5166,  7.4921, -0.9308
1496625624.2828989029,1496625624.2851939201, -0.1050,  1.0742, -0.0259, -4.5166,  7.4921, -0.9308
1496625624.2852659225,1496625624.2875568867, -0.1050,  1.0742, -0.0259, -4.5166,  7.4921, -0.9308
1496625624.2876288891,1496625624.2899119854, -0.0200,  0.7021, -0.0767, -4.5166,  7.4921, -0.9308
1496625624.2899839878,1496625624.2922699451, -0.0200,  0.7021, -0.0767, -3.9673,  5.4779, -1.6632
1496625624.2923429012,1496625624.2946529388, -0.0200,  0.7021, -0.0767, -3.9673,  5.4779, -1.6632
1496625624.2947258949,1496625624.2970149517, -0.0200,  0.7021, -0.0767, -3.9673,  5.4779, -1.6632
1496625624.2970869541,1496625624.2993719578, -0.0200,  0.7021, -0.0767, -3.9673,  5.4779, -1.6632
1496625624.2994439602,1496625624.3017399311, -0.0200,  0.7021, -0.0767, -3.9673,  1.5717, -2.7924
1496625624.3018109798,1496625624.3041639328, -0.0200,  0.7021, -0.0767, -3.7079,  3.0212, -2.7924
1496625624.3042368889,1496625624.3065340519, -0.0200,  0.7021, -0.0767, -3.7079,  3.0212, -2.7924
1496625624.3066070080,1496625624.3088970184,  0.0078,  0.7124, -0.0674, -3.7079,  3.0212, -2.7924
1496625624.3089699745,1496625624.3112599850,  0.0078,  0.7124, -0.0674, -3.7079,  3.0212, -2.7924
1496625624.3113329411,1496625624.3136360645,  0.0078,  0.7124, -0.0674, -2.4719,  2.0752, -4.3030
1496625624.3137090206,1496625624.3160009384,  0.0078,  0.7124, -0.0674, -2.4719,  2.0752, -4.3030
1496625624.3160738945,1496625624.3183610439,  0.0078,  0.7124, -0.0674, -2.4719,  2.0752, -4.3030
1496625624.3184330463,1496625624.3207230568,  0.0078,  0.7124, -0.0674, -2.4719,  2.0752, -4.3030
1496625624.3207960129,1496625624.3230841160,  0.0078,  0.7124, -0.0674, -2.4719,  2.0752, -4.3030
1496625624.3231561184,1496625624.3256220818,  0.0078,  0.7124, -0.0674, -2.1820,  0.8698, -4.9744
1496625624.3256950378,1496625624.3279919624, -0.0327,  0.6938, -0.0493, -2.1820,  0.8698, -4.9744
1496625624.3280639648,1496625624.3303589821, -0.0327,  0.6938, -0.0493, -2.1820,  0.8698, -4.9744
1496625624.3304328918,1496625624.3327260017, -0.0327,  0.6938, -0.0493, -2.1820,  0.8698, -4.9744
1496625624.3327989578,1496625624.3353199959, -0.0327,  0.6938, -0.0493, -1.7548,  0.9766, -5.3864
1496625624.3353929520,1496625624.3377950191, -0.0327,  0.6938, -0.0493, -1.7548,  0.9766, -5.3864
1496625624.3378670216,1496625624.3402719498, -0.0327,  0.6938, -0.0493, -1.7548,  0.9766, -5.3864
1496625624.3403449059,1496625624.3427441120, -0.0327,  0.6938, -0.0493, -1.7548,  0.9766, -5.3864
1496625624.3428161144,1496625624.3452310562, -0.0327,  0.6938, -0.0493, -1.7548,  0.9766, -5.5847
1496625624.3453040123,1496625624.3477001190, -0.0503,  0.6768, -0.0381, -2.0905,  2.3346, -5.5847
1496625624.3477730751,1496625624.3501698971, -0.0503,  0.6768, -0.0381, -2.0905,  2.3346, -5.5847
1496625624.3502440453,1496625624.3526489735, -0.0503,  0.6768, -0.0381, -2.0905,  2.3346, -5.5847
1496625624.3527209759,1496625624.3551681042, -0.0503,  0.6768, -0.0381, -2.0905,  2.3346, -5.5847
1496625624.3552410603,1496625624.3576409817, -0.0503,  0.6768, -0.0381, -2.7466,  2.4567, -5.0201
1496625624.3577139378,1496625624.3601179123, -0.0503,  0.6768, -0.0381, -2.7466,  2.4567, -5.0201
1496625624.3601911068,1496625624.3625919819, -0.0503,  0.6768, -0.0381, -2.7466,  2.4567, -5.0201
1496625624.3626649380,1496625624.3650100231, -0.0503,  0.6768, -0.0381, -2.7466,  2.4567, -5.0201
1496625624.3650839329,1496625624.3679499626, -0.0532,  0.6899, -0.0522, -2.5940,  3.0365, -4.9591
1496625624.3680269718,1496625624.3703110218, -0.0532,  0.6899, -0.0522, -2.5940,  3.0365, -4.9591
1496625624.3703830242,1496625624.3726749420, -0.0532,  0.6899, -0.0522, -2.5940,  3.0365, -4.9591
1496625624.3727469444,1496625624.3753340244, -0.0532,  0.6899, -0.0522, -2.5940,  3.0365, -4.9591
1496625624.3754069805,1496625624.3776950836, -0.0532,  0.6899, -0.0522, -2.5940,  3.0365, -4.5166
1496625624.3777680397,1496625624.3800599575, -0.0532,  0.6899, -0.0522, -2.8687,  2.2888, -4.5166
1496625624.3801329136,1496625624.3824229240, -0.0532,  0.6899, -0.0522, -2.8687,  2.2888, -4.5166
1496625624.3824949265,1496625624.3850040436, -0.0532,  0.6899, -0.0522, -2.8687,  2.2888, -4.5166
1496625624.3850769997,1496625624.3873679638, -0.0674,  0.7573, -0.0796, -2.8687,  2.2888, -4.5166
1496625624.3874409199,1496625624.3898060322, -0.0674,  0.7573, -0.0796, -2.9602,  1.3733, -3.7994
1496625624.3898799419,1496625624.3921749592, -0.0674,  0.7573, -0.0796, -2.9602,  1.3733, -3.7994
1496625624.3922469616,1496625624.3945760727, -0.0674,  0.7573, -0.0796, -2.9602,  1.3733, -3.7994
1496625624.3946490288,1496625624.3969380856, -0.0674,  0.7573, -0.0796, -2.9602,  1.3733, -3.7994
